,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
281,2021-08-17,53.1699982,53.1800003,52.2200012,52.6899986,51.523243,22014900.0,22014900.0,-1.64676,-3.097,52.30775,"August 17, 21",-0.03097
282,2021-08-16,53.2299995,53.4900017,53.0,53.4700012,52.2859802,17690300.0,17690300.0,-0.94402,-1.773,52.92533,"August 16, 21",-0.01773
283,2021-08-13,53.5,53.5600014,53.0600014,53.4900017,52.3055344,15281100.0,15281100.0,-1.19447,-2.233,52.97518,"August 13, 21",-0.02233
284,2021-08-12,54.1699982,54.1800003,53.2599983,53.5400009,52.3544273,15070100.0,15070100.0,-1.81557,-3.352,53.26481,"August 12, 21",-0.03352
285,2021-08-11,54.2599983,54.3600006,53.8400002,54.1399994,52.941143,18590800.0,18590800.0,-1.31886,-2.431,53.71371,"August 11, 21",-0.02431
286,2021-08-10,54.2400017,54.3899994,53.5099983,53.9399986,52.7455673,16215700.0,16215700.0,-1.49443,-2.755,53.54852,"August 10, 21",-0.02755
287,2021-08-09,54.0800018,54.4099998,53.8300018,54.0499992,52.8531342,14670100.0,14670100.0,-1.22687,-2.269,53.69771,"August 09, 21",-0.02269
288,2021-08-06,53.8600006,54.1300011,53.7299995,53.9199982,52.7260132,19256000.0,19256000.0,-1.13399,-2.105,53.52867,"August 06, 21",-0.02105
289,2021-08-05,53.9900017,54.0200005,53.5800018,53.8899994,52.6966743,15310000.0,15310000.0,-1.29333,-2.395,53.43223,"August 05, 21",-0.02395
290,2021-08-04,54.25,54.4399986,53.7000008,53.9000015,52.3661613,17612700.0,17612700.0,-1.88384,-3.473,53.50205,"August 04, 21",-0.03473
291,2021-08-03,53.8899994,54.1599998,53.2599983,54.0600014,52.5216103,16375900.0,16375900.0,-1.36839,-2.539,53.31387,"August 03, 21",-0.02539
292,2021-08-02,53.9900017,54.4700012,53.5400009,53.6800003,52.15242,18098100.0,18098100.0,-1.83758,-3.404,53.38747,"August 02, 21",-0.03404
293,2021-07-30,53.6500015,53.9000015,53.25,53.7200012,52.1912842,16465700.0,16465700.0,-1.45872,-2.719,53.11376,"July 30, 21",-0.02719
294,2021-07-29,53.4799995,54.0999985,53.3199997,53.7000008,52.1718559,16886600.0,16886600.0,-1.30814,-2.446,53.19728,"July 29, 21",-0.02446
295,2021-07-28,53.0299988,53.9199982,52.9399986,53.0699997,51.5597801,28478800.0,28478800.0,-1.47022,-2.772,52.80659,"July 28, 21",-0.02772
296,2021-07-27,53.1199989,53.2000008,52.3100014,53.1800003,51.6666527,39878000.0,39878000.0,-1.45335,-2.736,52.39222,"July 27, 21",-0.02736
