,open,high,low,close,adjClose
555,319.790009,321.279999,319.089996,320.790009,312.997314
556,322.410004,323.040009,319.269989,321.850006,314.031616
557,313.299988,319.76001,312.0,318.920013,311.172729
558,320.130005,322.709991,314.130005,314.839996,307.191864
559,314.309998,317.880005,312.76001,317.589996,309.875031
560,316.839996,317.100006,310.679993,314.380005,306.743011
561,314.609985,316.299988,312.700012,316.179993,308.499268
562,315.380005,317.519989,313.369995,313.779999,306.157593
563,316.369995,317.679993,315.559998,317.049988,309.348114
564,314.23999,315.700012,311.51001,312.230011,304.645264
565,309.570007,311.890015,309.070007,310.519989,302.976807
566,303.98999,310.200012,303.820007,308.359985,300.869232
567,301.410004,304.609985,298.929993,304.459991,297.063995
568,306.160004,306.390015,299.420013,300.049988,292.761139
569,303.470001,307.640015,301.279999,307.350006,299.883789
570,309.839996,310.51001,302.100006,304.089996,296.702972
571,313.48999,314.5,311.609985,312.049988,304.469604
572,307.98999,311.049988,306.75,310.619995,303.074371
573,314.170013,314.380005,306.529999,308.640015,301.142456
574,310.01001,312.299988,309.51001,311.779999,302.873352
575,314.070007,314.390015,310.859985,311.660004,302.756775
576,315.480011,315.640015,307.670013,312.959991,304.019653
577,298.019989,308.279999,296.73999,307.049988,298.278503
578,308.23999,309.079987,298.600006,304.209991,295.519653
579,311.459991,312.149994,300.01001,300.609985,292.02243
580,321.420013,322.390015,318.220001,319.0,309.887146
581,320.299988,323.279999,319.359985,320.790009,311.625946
582,320.220001,323.410004,319.630005,323.200012,313.967133
583,317.230011,321.269989,317.160004,319.339996,310.217377
584,311.109985,313.0,309.079987,311.359985,302.465363
585,310.23999,313.220001,309.940002,312.179993,303.261932
586,306.549988,308.130005,305.100006,308.079987,299.279053
587,303.619995,306.209991,303.059998,305.549988,296.82135
588,302.459991,304.959991,299.470001,304.320007,295.626465
589,304.649994,306.839996,302.23999,302.970001,294.315033
590,302.119995,303.570007,296.869995,303.529999,294.859039
591,301.929993,302.190002,295.459991,299.079987,290.536133
592,294.570007,295.630005,293.220001,295.440002,287.000153
593,296.790009,297.670013,293.690002,294.880005,286.456146
594,295.820007,297.869995,295.570007,296.929993,288.447571
595,294.350006,296.209991,291.950012,291.970001,283.629272
596,293.049988,296.75,292.700012,295.0,286.572693
597,282.369995,286.329987,281.339996,286.279999,278.101837
598,278.950012,285.109985,272.98999,284.970001,276.829224
599,286.059998,287.190002,278.959991,281.600006,273.555542
600,293.790009,294.23999,286.519989,286.670013,278.480682
601,290.339996,294.0,289.880005,292.5,284.144135
602,291.089996,292.950012,289.859985,292.440002,284.085815
603,287.75,289.779999,287.130005,287.679993,279.461823
604,288.040009,288.459991,283.779999,284.25,276.129791
605,286.640015,289.25,283.709991,286.190002,278.014343
606,280.73999,283.899994,279.130005,283.570007,275.469269
607,285.309998,290.660004,281.519989,282.790009,274.711487
608,291.709991,293.320007,288.589996,290.480011,282.181854
609,291.529999,294.880005,290.410004,293.209991,284.833832
610,291.019989,291.399994,285.399994,285.730011,277.567566
611,285.119995,288.269989,284.619995,287.049988,278.849854
612,280.730011,283.700012,278.5,282.970001,274.886383
613,280.48999,283.940002,278.75,279.079987,271.107452
614,278.350006,281.0,276.910004,279.100006,271.126923
615,276.730011,278.040009,272.019989,273.040009,265.240112
616,282.609985,286.790009,281.350006,281.589996,273.545837
617,285.380005,287.299988,282.399994,286.640015,278.451538
618,279.149994,280.029999,275.76001,279.100006,271.126923
619,277.570007,283.940002,275.459991,277.76001,269.825195
620,280.980011,284.899994,275.51001,283.790009,275.682953
621,277.140015,277.51001,271.410004,275.660004,267.785248
622,277.579987,281.200012,275.470001,278.200012,270.252625
623,267.959991,276.0,265.25,274.029999,266.201721
624,274.209991,275.029999,264.890015,265.130005,257.55603
625,257.839996,267.0,248.169998,264.859985,257.293701
626,250.759995,253.320007,245.220001,248.190002,241.09996
627,245.190002,252.679993,244.589996,251.830002,244.635941
628,247.979996,257.660004,243.899994,246.149994,239.118195
629,260.559998,263.329987,256.220001,257.75,250.386841
630,255.699997,262.429993,253.529999,261.649994,254.17543
631,253.270004,260.809998,251.050003,253.419998,246.180511
632,249.520004,262.799988,249.050003,261.200012,253.738327
633,244.869995,256.350006,239.75,246.789993,239.739929
634,234.419998,244.100006,233.800003,243.149994,236.203934
635,228.190002,229.679993,218.259995,222.949997,216.580963
636,242.529999,244.470001,228.5,228.800003,222.26387
637,239.25,247.380005,232.220001,240.509995,232.273499
638,236.25,248.369995,228.020004,240.0,231.780975
639,245.039993,256.170013,237.070007,252.800003,244.142639
640,241.179993,256.899994,237.360001,239.850006,231.636108
641,263.089996,271.480011,248.520004,269.320007,260.096863
642,256.0,266.660004,247.679993,248.110001,239.61322
643,280.700012,281.940002,270.880005,274.359985,264.964264
644,284.640015,288.519989,273.5,288.420013,278.542786
645,275.299988,284.190002,273.450012,274.230011,264.838715
646,293.149994,298.779999,290.230011,297.459991,287.273224
647,304.980011,308.470001,300.01001,302.459991,292.101959
648,306.119995,313.100006,303.329987,312.859985,302.145782
649,309.5,313.839996,297.570007,300.23999,289.957947
650,298.209991,309.160004,294.459991,309.089996,298.504883
651,288.700012,297.890015,285.540009,296.26001,286.114319
652,305.459991,311.559998,297.51001,297.51001,287.321503
653,314.179993,318.109985,310.700012,311.5,300.832397
654,323.940002,324.609985,311.690002,312.649994,301.942993
655,323.140015,333.559998,321.23999,322.420013,311.378418
656,335.470001,335.809998,332.579987,333.480011,322.059692
657,337.73999,338.640015,333.679993,336.950012,325.410858
658,337.790009,339.079987,337.480011,338.339996,326.753235
659,336.51001,337.670013,335.209991,336.730011,325.198395
660,337.51001,337.730011,336.200012,337.600006,326.038574
661,335.859985,338.119995,335.559998,337.059998,325.517029
662,336.829987,337.649994,336.429993,337.420013,325.864716
663,336.160004,337.019989,334.679993,335.26001,323.778687
664,331.230011,334.75,331.190002,334.679993,323.218506
665,332.820007,333.98999,331.600006,332.200012,320.823517
666,333.910004,334.190002,332.799988,333.980011,322.542511
667,332.269989,333.089996,330.670013,332.859985,321.460846
668,328.070007,330.01001,327.720001,329.059998,317.791016
669,323.350006,326.160004,323.220001,324.119995,313.020142
670,327.0,327.170013,320.730011,321.730011,310.712067
671,324.359985,327.910004,323.540009,327.679993,316.458282
672,328.380005,328.630005,326.399994,326.619995,315.434601
673,325.059998,327.850006,323.600006,326.890015,315.695313
674,323.029999,325.119995,322.660004,323.5,312.421417
675,332.440002,332.529999,327.359985,328.769989,317.510986
676,330.630005,332.170013,329.410004,331.720001,320.359924
677,332.23999,332.950012,331.170013,331.339996,319.99292
678,330.899994,332.179993,330.820007,331.299988,319.954315
679,331.700012,332.179993,330.850006,331.950012,320.582031
680,329.700012,330.920013,329.450012,330.920013,319.587372
681,327.350006,329.019989,327.26001,328.190002,316.950836
682,327.470001,328.619995,326.839996,327.450012,316.236145
683,326.390015,327.959991,325.920013,327.950012,316.719025
684,327.290009,327.459991,325.200012,325.709991,314.555725
685,326.160004,326.730011,325.519989,326.649994,315.463562
686,322.940002,325.779999,322.670013,324.450012,313.338928
